interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,wind_forecast
2026-02-19 21:00:00-05:00,2026-02-20 02:00:00+00:00,2026-02-19 22:00:00-05:00,2026-02-20 03:00:00+00:00,2026-02-19 16:00:00-05:00,2026-02-19 21:00:00+00:00,5910.955
2026-02-19 22:00:00-05:00,2026-02-20 03:00:00+00:00,2026-02-19 23:00:00-05:00,2026-02-20 04:00:00+00:00,2026-02-19 17:00:00-05:00,2026-02-19 22:00:00+00:00,6279.754
2026-02-19 23:00:00-05:00,2026-02-20 04:00:00+00:00,2026-02-20 00:00:00-05:00,2026-02-20 05:00:00+00:00,2026-02-19 18:00:00-05:00,2026-02-19 23:00:00+00:00,6888.659
2026-02-20 00:00:00-05:00,2026-02-20 05:00:00+00:00,2026-02-20 01:00:00-05:00,2026-02-20 06:00:00+00:00,2026-02-19 19:00:00-05:00,2026-02-20 00:00:00+00:00,7815.103
2026-02-20 01:00:00-05:00,2026-02-20 06:00:00+00:00,2026-02-20 02:00:00-05:00,2026-02-20 07:00:00+00:00,2026-02-19 20:00:00-05:00,2026-02-20 01:00:00+00:00,8168.612
2026-02-20 02:00:00-05:00,2026-02-20 07:00:00+00:00,2026-02-20 03:00:00-05:00,2026-02-20 08:00:00+00:00,2026-02-19 21:00:00-05:00,2026-02-20 02:00:00+00:00,8265.677
2026-02-20 03:00:00-05:00,2026-02-20 08:00:00+00:00,2026-02-20 04:00:00-05:00,2026-02-20 09:00:00+00:00,2026-02-19 22:00:00-05:00,2026-02-20 03:00:00+00:00,8346.154
2026-02-20 04:00:00-05:00,2026-02-20 09:00:00+00:00,2026-02-20 05:00:00-05:00,2026-02-20 10:00:00+00:00,2026-02-19 23:00:00-05:00,2026-02-20 04:00:00+00:00,8487.618
2026-02-20 05:00:00-05:00,2026-02-20 10:00:00+00:00,2026-02-20 06:00:00-05:00,2026-02-20 11:00:00+00:00,2026-02-20 00:00:00-05:00,2026-02-20 05:00:00+00:00,8583.227
2026-02-20 06:00:00-05:00,2026-02-20 11:00:00+00:00,2026-02-20 07:00:00-05:00,2026-02-20 12:00:00+00:00,2026-02-20 01:00:00-05:00,2026-02-20 06:00:00+00:00,8564.157
2026-02-20 07:00:00-05:00,2026-02-20 12:00:00+00:00,2026-02-20 08:00:00-05:00,2026-02-20 13:00:00+00:00,2026-02-20 02:00:00-05:00,2026-02-20 07:00:00+00:00,8740.81
2026-02-20 08:00:00-05:00,2026-02-20 13:00:00+00:00,2026-02-20 09:00:00-05:00,2026-02-20 14:00:00+00:00,2026-02-20 03:00:00-05:00,2026-02-20 08:00:00+00:00,8818.192
2026-02-20 09:00:00-05:00,2026-02-20 14:00:00+00:00,2026-02-20 10:00:00-05:00,2026-02-20 15:00:00+00:00,2026-02-20 04:00:00-05:00,2026-02-20 09:00:00+00:00,8882.841
2026-02-20 10:00:00-05:00,2026-02-20 15:00:00+00:00,2026-02-20 11:00:00-05:00,2026-02-20 16:00:00+00:00,2026-02-20 05:00:00-05:00,2026-02-20 10:00:00+00:00,8965.956
2026-02-20 11:00:00-05:00,2026-02-20 16:00:00+00:00,2026-02-20 12:00:00-05:00,2026-02-20 17:00:00+00:00,2026-02-20 06:00:00-05:00,2026-02-20 11:00:00+00:00,9158.089
2026-02-20 12:00:00-05:00,2026-02-20 17:00:00+00:00,2026-02-20 13:00:00-05:00,2026-02-20 18:00:00+00:00,2026-02-20 07:00:00-05:00,2026-02-20 12:00:00+00:00,9345.873
2026-02-20 13:00:00-05:00,2026-02-20 18:00:00+00:00,2026-02-20 14:00:00-05:00,2026-02-20 19:00:00+00:00,2026-02-20 08:00:00-05:00,2026-02-20 13:00:00+00:00,9464.73
2026-02-20 14:00:00-05:00,2026-02-20 19:00:00+00:00,2026-02-20 15:00:00-05:00,2026-02-20 20:00:00+00:00,2026-02-20 09:00:00-05:00,2026-02-20 14:00:00+00:00,9628.935
2026-02-20 15:00:00-05:00,2026-02-20 20:00:00+00:00,2026-02-20 16:00:00-05:00,2026-02-20 21:00:00+00:00,2026-02-20 10:00:00-05:00,2026-02-20 15:00:00+00:00,9370.748
2026-02-20 16:00:00-05:00,2026-02-20 21:00:00+00:00,2026-02-20 17:00:00-05:00,2026-02-20 22:00:00+00:00,2026-02-20 11:00:00-05:00,2026-02-20 16:00:00+00:00,9208.936
2026-02-20 17:00:00-05:00,2026-02-20 22:00:00+00:00,2026-02-20 18:00:00-05:00,2026-02-20 23:00:00+00:00,2026-02-20 12:00:00-05:00,2026-02-20 17:00:00+00:00,8779.426
2026-02-20 18:00:00-05:00,2026-02-20 23:00:00+00:00,2026-02-20 19:00:00-05:00,2026-02-21 00:00:00+00:00,2026-02-20 13:00:00-05:00,2026-02-20 18:00:00+00:00,8339.069
2026-02-20 19:00:00-05:00,2026-02-21 00:00:00+00:00,2026-02-20 20:00:00-05:00,2026-02-21 01:00:00+00:00,2026-02-20 14:00:00-05:00,2026-02-20 19:00:00+00:00,7769.085
2026-02-20 20:00:00-05:00,2026-02-21 01:00:00+00:00,2026-02-20 21:00:00-05:00,2026-02-21 02:00:00+00:00,2026-02-20 15:00:00-05:00,2026-02-20 20:00:00+00:00,7472.302
2026-02-20 21:00:00-05:00,2026-02-21 02:00:00+00:00,2026-02-20 22:00:00-05:00,2026-02-21 03:00:00+00:00,2026-02-20 16:00:00-05:00,2026-02-20 21:00:00+00:00,6782.889
